Longitude,Latitude,Species
-89.79972222,39.93527778,Quercus imbricaria
-89.79861111,39.93527778,Quercus imbricaria
-89.79888889,39.93527778,Quercus imbricaria
-89.80194444,39.93444444,Quercus imbricaria
-89.80222222,39.93444444,Quercus imbricaria
-89.8025,39.93444444,Quercus imbricaria
-89.80222222,39.93555556,Quercus imbricaria
-89.80222222,39.935,Quercus imbricaria
-89.80222222,39.93555556,Quercus imbricaria
-89.8025,39.93583333,Quercus imbricaria
-89.8025,39.93555556,Quercus imbricaria
-89.80083333,39.93138889,Quercus imbricaria
-89.80027778,39.93361111,Quercus imbricaria
-89.80138889,39.93361111,Quercus imbricaria
-89.80055556,39.93388889,Quercus imbricaria
-89.80027778,39.93444444,Quercus xleana
-89.8025,39.93555556,Quercus xleana
-89.79888889,39.93527778,Quercus xleana
-89.79944444,39.93527778,Quercus macrocarpa 
