"","V1"
"Quercus alba",NA
"bicolor × macrocarpa",NA
"Quercus muehlenbergii  × laceyi",NA
"Quercus × alba × macrocarpa",NA
"Quercus × beadlei ",NA
"Quercus × bebbiana",NA
"Quercus × bimundorum",NA
"Quercus × bushii",NA
"Quercus × calvescens",NA
"Quercus × carrisoana",NA
"Quercus × comptoniae",NA
"Quercus × deamii",NA
"Quercus × egglestonii",NA
"Quercus × exacta",NA
"Quercus × faxonii",NA
"Quercus × fernowii",NA
"Quercus × guadalupensis",NA
"Quercus × hawkinsiae",NA
"Quercus × haynaldiana",NA
"Quercus × hessiana",NA
"Quercus × heterophylla",NA
"Quercus × hickelii",NA
"Quercus × hispanica",NA
"Quercus × humidicola",NA
"Quercus × introgressa",NA
"Quercus × jackiana ",NA
"Quercus × leana",NA
"Quercus × libanerris",NA
"Quercus × libanerris × cerris",NA
"Quercus × mazei",NA
"Quercus × megaleia",NA
"Quercus palmeri",NA
"Quercus × pseudodalechampii",NA
"Quercus × richardsonii",NA
"Quercus × rosacea",NA
"Quercus × runcinata",NA
"Quercus × sargentii",NA
"Quercus × sargentii × macrocarpa",NA
"Quercus × saulii",NA
"Quercus × schuettei",NA
"Quercus × sternbergii",NA
"Quercus × streamii",NA
"Quercus × substellata",NA
"Quercus × tottenii",NA
"Quercus × turneri",NA
"Quercus × undulata ",NA
"Quercus × vilmoriniana ",NA
"Quercus × warei",NA
"Quercus acerifolia",NA
"Quercus acutifolia",NA
"Quercus acutissima",NA
"Quercus aliena",NA
"Quercus arizonica",NA
"Quercus arkansana",NA
"Quercus austrina",NA
"Quercus baronii",NA
"Quercus bicolor",NA
"Quercus bicolor × muehlenbergii",NA
"Quercus boyntonii",NA
"Quercus brantii",NA
"Quercus buckleyi",NA
"Quercus calliprinos",NA
"Quercus canariensis",NA
"Quercus canbyi",NA
"Quercus castaneifolia",NA
"Quercus cerris",NA
"Quercus chapmanii",NA
"Quercus chenii",NA
"Quercus coccifera",NA
"Quercus coccinea",NA
"Quercus corrugata",NA
"Quercus crassipes",NA
"Quercus crispula",NA
"Quercus dalechampii",NA
"Quercus dentata",NA
"Quercus ellipsoidalis",NA
"Quercus fabrei",NA
"Quercus faginea",NA
"Quercus falcata",NA
"Quercus frainetto",NA
"Quercus fusiformis",NA
"Quercus gambelii",NA
"Quercus geminata",NA
"Quercus georgiana",NA
"Quercus georgiana × coccinea",NA
"Quercus germana",NA
"Quercus glauca",NA
"Quercus graciliformis",NA
"Quercus gravesii",NA
"Quercus griffithii",NA
"Quercus grisea",NA
"Quercus haas",NA
"Quercus hartwissiana",NA
"Quercus havardii",NA
"Quercus hirtifolia",NA
"Quercus pyrenaica × robur",NA
"Quercus alba ×  lyrata",NA
"Quercus oglethorpensis × stellata",NA
"Quercus laceyi × stellata",NA
"Quercus coccinea × falcata",NA
"Quercus michauxii × macrocarpa",NA
"Quercus muehlenbergii × stellata",NA
"Quercus coccinea × pagoda",NA
"Quercus prinoides × virginiana",NA
"Quercus turbinella x macrocarpa",NA
"Quercus austrina × stellata",NA
"Quercus rubra × ",NA
"Quercus alba × muehlenbergii",NA
"Quercus bicolor × muhlenbergii",NA
"Quercus alba × lyrata",NA
"Quercus macrocarpa × virginiana",NA
"Quercus robur",NA
"Quercus palustris × shumardii",NA
"Quercus nuttallii × rubra x shumardii",NA
"Quercus nuttallii × rubra",NA
"Quercus buckleyi × marilandica",NA
"Quercus petraea × macranthera",NA
"Quercus petraea × robur",NA
"Quercus frainetto × macranthera",NA
"Quercus cerrioides  × faginea",NA
"Quercus buckleyi ×  gravesii",NA
"Quercus fusiformis × virginiana",NA
"Quercus rysophylla × buckleyi",NA
"Quercus rysophylla × nigra",NA
"Quercus arkansana × falcata",NA
"Quercus macranthera × robur ",NA
"Quercus castaneifolia × libani",NA
"Quercus ellipsoidalis × rubra",NA
"Quercus georgiana × nigra",NA
"Quercus nigra × coccinea",NA
"Quercus macranthera × petraea",NA
"Quercus robur x alba",NA
"Quercus sargentii × macrocarpa",NA
"Quercus prinoides × muehlenbergii",NA
"Quercus schuettei × macrocarpa",NA
"Quercus nuttallii × nigra",NA
"Quercus ilex",NA
"Quercus incana",NA
"Quercus infectoria",NA
"Quercus kelloggii",NA
"Quercus laceyi",NA
"Quercus libani",NA
"Quercus lobata",NA
"Quercus lyrata",NA
"Quercus macranthera",NA
"Quercus macrocarpa",NA
"Quercus macrolepis",NA
"Quercus margaretta",NA
"Quercus marilandica",NA
"Quercus mexicana",NA
"Quercus michauxii",NA
"Quercus minima",NA
"Quercus mohriana",NA
"Quercus mongolica",NA
"Quercus montana",NA
"Quercus muehlenbergii",NA
"Quercus multinervis",NA
"Quercus myrtifolia",NA
"Quercus nuttallii",NA
"Quercus oglethorpensis",NA
"Quercus oleoides",NA
"Quercus pagoda",NA
"Quercus palustris",NA
"Quercus pedunculiflora",NA
"Quercus petraea",NA
"Quercus phellos",NA
"Quercus phillyreiodes",NA
"Quercus polycarpa",NA
"Quercus polymorpha",NA
"Quercus prinoides",NA
"Quercus pubescens",NA
"Quercus pumila",NA
"Quercus pungens",NA
"Quercus pyrenaica",NA
"Quercus resinosa",NA
"Quercus rhysophylla",NA
"Quercus robur × macrocarpa",NA
"Quercus rubra",NA
"Quercus serrata",NA
"Quercus shumardii",NA
"Quercus sinuata",NA
"Quercus stellata",NA
"Quercus tristis ",NA
"Quercus trojana",NA
"Quercus trojana ",NA
"Quercus turbinella",NA
"Quercus variabilis",NA
"Quercus vaseyana",NA
"Quercus velutina",NA
"Quercus virgiliana",NA
"Quercus virginiana",NA
"Quercus vulcanica",NA
"Quercus wutaishanica",NA
"Quercus yiwuensis",NA
"Quercus yunnanensis",1
